# fsae control log — tag=mpc_standalone
# t0_epoch_s=1786568961.4789  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=mpc_standalone
# use_nmpc=0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# launch.use_precomputed_heading_profile=True
# launch.enable_dynamic_speed_cap=False
# launch.dynamic_cap_a_lat_max=3.2
# launch.dynamic_cap_safety=0.9
# launch.v_max=18.0
# launch.v_min=1.5
# mpc_params.q_e_y=6.35
# mpc_params.q_e_yd=0.5
# mpc_params.q_e_psi=2.0
# mpc_params.q_r=1.0
# mpc_params.q_e_v=5.35
# mpc_params.r_delta=1.8
# mpc_params.r_a_accel=2.5
# mpc_params.r_a_brake=0.5
# mpc_params.r_rate_delta=2.0
# mpc_params.r_rate_a=2.35
# mpc_params.terminal_q_scale=1.0
# mpc_params.adaptive_q_scaling_enabled=False
# mpc_params.steer_rate_anti_hunt_enabled=True
# mpc_params.adaptive_r_rate_enable_in_corners=True
# mpc_params.delay_compensation_enabled=True
# mpc_params.ref_heading_rate_limit_enabled=False
# mpc_params.ref_heading_rise_rate_deg_s=90.0
# mpc_params.max_delay_compensation_steps=3
# mpc_params.predict_epsi_clip=0.5
# mpc_params.pose_age_lp_alpha=0.15
# mpc_params.n_delay_hysteresis=0.25
# mpc_params.adaptive_r_rate_during_floor=0.625
# mpc_params.anti_hunt_boost_max=6.0
# mpc_params.corner_factor_k=8.0
# mpc_params.q_ey_straight=4.5
# mpc_params.q_ey_corner=9.0
# mpc_params.q_epsi_straight=1.5
# mpc_params.q_epsi_corner=3.0
# mpc_params.q_r_straight=1.0
# mpc_params.q_r_corner=0.5
# mpc_params.rrate_steer_straight=2.0
# mpc_params.rrate_steer_corner=1.25
# mpc_params.r_steer_corner_mid=1.35
# mpc_params.low_speed_corner_boost_v_half=4.0
# mpc_params.low_speed_corner_boost_max_extra=0.3
# mpc_params.epsi_ra_half_rad=0.17453292519943295
# mpc_params.epsi_ra_accel_boost_max=2.0
# mpc_params.epsi_ra_brake_floor=0.5
# mpc_params.nmpc_q_e_y=-1.0
# mpc_params.nmpc_q_e_yd=-1.0
# mpc_params.nmpc_q_e_psi=-1.0
# mpc_params.nmpc_q_epsi_dot=-1.0
# mpc_params.nmpc_q_e_v=-1.0
# mpc_params.nmpc_r_delta=-1.0
# mpc_params.nmpc_r_a_accel=-1.0
# mpc_params.nmpc_r_a_brake=-1.0
# mpc_params.nmpc_r_rate_delta=-1.0
# mpc_params.nmpc_r_rate_a=-1.0
# mpc_params.nmpc_terminal_scale=-1.0
# lap_time_s=54.7168
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.694870
# n_steps=1147
# rmse=0.454972
# peak_lateral_error_m=1.635958
# speed_rmse_mps=3.308505
# yaw_rms_radps=0.492049
# max_yaw_rate_radps=1.702515
# control_smooth_rms=0.197785
# jerk_rms=0.225066
# steer_rms=0.184021
# accel_rms_mps2=1.855325
# max_steering_rad=0.436332
# max_accel_mps2=12.000000
# steering_sat_ratio=0.064516
# steering_reversal_rms=0.072696
# steering_reversal_rate=0.260680
# steering_reversals=299
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,kappa_growth_rate,kappa_max_abs_effective,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_R_steer_relax,m_Rrate_corner,m_Rrate_antihunt,m_Rrate_lowspeed,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,kappa_horizon_end,w_epsi_sum,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs
0.0000,0.0000,0.0000,-0.00000,0.000,18.000,0.021,0.1688,-4.120,0.0000,0.000370,0.6000,0,0,0.0470,0.0000,1,94.897,97.472,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20346,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22948,0.42705,,,,,,,,,,
0.0265,0.0000,0.0000,-0.00000,0.000,18.000,0.029,0.1688,-4.120,0.0000,0.000511,1.2000,0,0,0.1480,0.0000,1,22.031,22.930,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20350,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22948,0.42705,,,,,,,,,,
0.0741,0.0000,0.0000,-0.00000,0.000,18.000,0.032,0.1688,-4.120,0.0000,0.000565,1.8000,0,0,0.0631,0.0000,1,20.124,20.936,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20350,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22948,0.42705,,,,,,,,,,
0.1254,0.0000,0.0000,-0.00000,0.000,18.000,0.034,0.1688,-4.120,0.0000,0.000585,2.4000,0,0,0.0797,0.0000,1,21.378,22.088,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20350,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22948,0.42705,,,,,,,,,,
0.1760,0.0000,0.0000,-0.00000,-0.000,18.000,0.034,0.1688,-4.120,0.0000,0.000593,3.0000,0,0,0.0451,0.0000,1,18.458,19.289,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20350,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22948,0.42705,,,,,,,,,,
0.2247,0.0000,0.0000,0.00001,-0.001,18.000,0.034,0.1688,-4.120,0.0002,0.000596,3.6000,0,0,0.0514,0.0000,1,18.057,21.233,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20352,,4.88413,1.62804,0.95732,1.95155,1.93598,3.22942,0.42706,,,,,,,,,,
0.2664,0.0000,0.0002,-0.00004,-0.001,18.000,0.034,0.1690,-4.123,-0.0013,0.000597,4.2000,0,0,0.0507,0.0000,1,13.102,13.836,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20324,,4.88414,1.62805,0.95732,1.95155,1.93598,3.22979,0.42702,,,,,,,,,,
0.3143,0.0001,0.0004,-0.00003,-0.000,18.000,0.034,0.1691,-4.122,-0.0001,0.000598,4.8000,0,0,0.0317,0.0000,1,11.025,11.790,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20313,,4.88415,1.62805,0.95732,1.95155,1.93597,3.22971,0.42703,,,,,,,,,,
0.3651,0.0002,-0.0013,-0.00003,-0.000,18.000,0.034,0.1675,-4.122,0.0000,0.000598,5.4000,0,0,0.0337,0.0000,1,11.749,12.558,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20478,,4.88415,1.62805,0.95732,1.95155,1.93597,3.22970,0.42703,,,,,,,,,,
0.4168,0.0002,0.0002,0.00000,0.000,18.000,0.034,0.1689,-4.120,0.0007,0.000598,6.0000,0,0,0.0470,0.0000,1,13.057,14.195,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20335,,4.88416,1.62805,0.95732,1.95155,1.93597,3.22946,0.42705,,,,,,,,,,
0.4666,0.0131,0.0006,-0.00015,0.379,18.000,-0.608,0.1692,-4.129,-0.0041,-0.010603,6.6000,0,0,0.0597,0.0000,1,11.440,13.191,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.11538,,,0.97432,1.20416,,4.87648,1.62549,0.95817,1.95267,1.93725,3.23050,0.42695,,,,,,,,,,
0.5207,0.0377,0.0008,-0.00015,0.740,18.000,-2.321,0.1692,-4.129,-0.0001,-0.040511,7.2000,0,0,0.0632,0.0000,1,14.725,16.380,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.16460,,,0.97432,1.20520,,4.87033,1.62344,0.95885,2.03486,1.93828,3.23163,0.42684,,,,,,,,,,
0.5711,0.1233,0.0010,-0.00019,1.462,18.000,-2.276,0.1688,-4.131,-0.0003,-0.039729,7.8000,0,0,0.0399,0.0000,1,17.044,18.475,0.00879,,,,,,,,,,,,,1.00000,,,,,,,,1.29389,,,0.97432,1.20677,,4.86043,1.62014,0.95995,2.25059,1.93993,3.23899,0.42610,,,,,,,,,,
