# fsae control log — tag=mpc_standalone
# t0_epoch_s=1786594807.5822  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=mpc_standalone
# use_nmpc=0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# launch.use_precomputed_heading_profile=True
# launch.enable_dynamic_speed_cap=False
# launch.dynamic_cap_a_lat_max=3.2
# launch.dynamic_cap_safety=0.9
# launch.v_max=18.0
# launch.v_min=1.5
# mpc_params.q_e_y=6.35
# mpc_params.q_e_yd=0.5
# mpc_params.q_e_psi=1.65
# mpc_params.q_r=1.0
# mpc_params.q_e_v=5.4
# mpc_params.r_delta=1.35
# mpc_params.r_a_accel=2.25
# mpc_params.r_a_brake=0.5
# mpc_params.r_rate_delta=2.8
# mpc_params.r_rate_a=2.25
# mpc_params.terminal_q_scale=1.0
# mpc_params.adaptive_q_scaling_enabled=False
# mpc_params.steer_rate_anti_hunt_enabled=True
# mpc_params.adaptive_r_rate_enable_in_corners=True
# mpc_params.delay_compensation_enabled=True
# mpc_params.ref_heading_rate_limit_enabled=False
# mpc_params.ref_heading_rise_rate_deg_s=90.0
# mpc_params.max_delay_compensation_steps=3
# mpc_params.predict_epsi_clip=0.5
# mpc_params.pose_age_lp_alpha=0.15
# mpc_params.n_delay_hysteresis=0.25
# mpc_params.adaptive_r_rate_during_floor=0.625
# mpc_params.anti_hunt_boost_max=6.0
# mpc_params.corner_factor_k=8.0
# mpc_params.q_ey_straight=4.5
# mpc_params.q_ey_corner=9.0
# mpc_params.q_epsi_straight=1.5
# mpc_params.q_epsi_corner=3.0
# mpc_params.q_r_straight=1.0
# mpc_params.q_r_corner=0.5
# mpc_params.rrate_steer_straight=2.0
# mpc_params.rrate_steer_corner=1.25
# mpc_params.r_steer_corner_mid=1.35
# mpc_params.low_speed_corner_boost_v_half=4.0
# mpc_params.low_speed_corner_boost_max_extra=0.3
# mpc_params.epsi_ra_half_rad=0.17453292519943295
# mpc_params.epsi_ra_accel_boost_max=2.0
# mpc_params.epsi_ra_brake_floor=0.5
# mpc_params.nmpc_q_e_y=-1.0
# mpc_params.nmpc_q_e_yd=-1.0
# mpc_params.nmpc_q_e_psi=-1.0
# mpc_params.nmpc_q_epsi_dot=-1.0
# mpc_params.nmpc_q_e_v=-1.0
# mpc_params.nmpc_r_delta=-1.0
# mpc_params.nmpc_r_a_accel=-1.0
# mpc_params.nmpc_r_a_brake=-1.0
# mpc_params.nmpc_r_rate_delta=-1.0
# mpc_params.nmpc_r_rate_a=-1.0
# mpc_params.nmpc_terminal_scale=-1.0
# lap_time_s=55.1275
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.663064
# n_steps=1147
# rmse=0.416264
# peak_lateral_error_m=1.144430
# speed_rmse_mps=3.295040
# yaw_rms_radps=0.466826
# max_yaw_rate_radps=1.505375
# control_smooth_rms=0.211376
# jerk_rms=0.240868
# steer_rms=0.186954
# accel_rms_mps2=1.914724
# max_steering_rad=0.436332
# max_accel_mps2=12.000007
# steering_sat_ratio=0.073235
# steering_reversal_rms=0.071162
# steering_reversal_rate=0.249346
# steering_reversals=286
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
0.0000,0.0000,0.0000,-0.00000,0.000,18.000,0.026,0.1688,-4.120,0.0000,0.000447,0.6000,0,0,0.0240,0.0000,0,126.550,133.448,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20349,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.0645,0.0000,0.0000,-0.00000,0.000,18.000,0.037,0.1688,-4.120,0.0000,0.000637,1.2000,0,0,0.1624,0.0000,1,50.337,59.107,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20353,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.1168,0.0000,0.0000,-0.00000,0.000,18.000,0.041,0.1688,-4.120,0.0000,0.000718,1.8000,0,0,0.1726,0.0000,1,45.972,48.619,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20353,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.1749,0.0000,0.0000,-0.00000,0.000,18.000,0.043,0.1688,-4.120,0.0000,0.000753,2.4000,0,0,0.1839,0.0000,1,53.649,54.371,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20353,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.2168,0.0000,0.0000,-0.00000,0.000,18.000,0.044,0.1688,-4.120,0.0000,0.000768,3.0000,0,0,0.2042,0.0000,2,37.287,38.018,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20356,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.2576,0.0000,0.0000,-0.00000,0.000,18.000,0.044,0.1688,-4.120,0.0000,0.000774,3.6000,0,0,0.1946,0.0000,2,34.887,36.918,0.06567,0.01970,0.08537,4.88416,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20356,4.88416,1.62805,0.95732,1.49247,1.93597,2.90653,0.42705,,,,,,,,,,
0.3315,0.0001,-0.0013,-0.00003,-0.000,18.000,0.045,0.1674,-4.122,0.0004,0.000777,4.2000,0,0,0.0325,0.0000,2,65.406,66.001,0.06567,0.01970,0.08537,4.88415,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20489,4.88415,1.62805,0.95732,1.49247,1.93597,2.90672,0.42703,,,,,,,,,,
0.3639,0.0001,-0.0013,-0.00003,-0.000,18.000,0.045,0.1674,-4.122,0.0004,0.000779,4.8000,0,0,0.1014,0.0000,2,28.833,29.414,0.06567,0.01970,0.08537,4.88415,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20489,4.88415,1.62805,0.95732,1.49247,1.93597,2.90672,0.42703,,,,,,,,,,
0.3957,0.0001,0.0003,-0.00003,-0.000,18.000,0.045,0.1691,-4.122,-0.0001,0.000779,5.4000,0,0,0.0851,0.0000,2,27.953,28.553,0.06567,0.01970,0.08537,4.88415,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20319,4.88415,1.62805,0.95732,1.49247,1.93597,2.90674,0.42703,,,,,,,,,,
0.4449,0.0002,-0.0013,-0.00003,-0.000,18.000,0.045,0.1674,-4.122,0.0000,0.000779,6.0000,0,0,0.1010,0.0000,2,25.157,26.945,0.06567,0.01970,0.08537,4.88415,1.62805,0.95732,1.49247,1.93597,1.00000,1.11538,0.97432,1.20488,4.88415,1.62805,0.95732,1.49247,1.93597,2.90673,0.42703,,,,,,,,,,
0.4888,0.0131,-0.0016,0.00021,0.379,18.000,-0.681,0.1672,-4.108,0.0047,-0.011878,6.6000,0,0,0.0242,0.0000,2,22.573,23.257,0.06567,0.01800,0.08366,4.87649,1.62550,0.95817,1.49274,1.93725,1.00000,1.11538,0.97432,1.20833,4.87649,1.62550,0.95817,1.49274,1.93725,2.90505,0.42722,,,,,,,,,,
0.5436,0.0377,-0.0018,0.00021,0.740,18.000,-2.532,0.1668,-4.108,-0.0001,-0.044187,7.2000,0,0,0.0334,0.0000,2,27.379,28.076,0.06567,0.01663,0.08229,4.87032,1.62344,0.95885,1.55402,1.93828,1.00000,1.16467,0.97432,1.21108,4.87032,1.62344,0.95885,1.55402,1.93828,2.90649,0.42706,,,,,,,,,,
