# fsae control log — tag=mpc_standalone
# t0_epoch_s=1786571022.5192  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=mpc_standalone
# use_nmpc=1
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# launch.use_precomputed_heading_profile=True
# launch.enable_dynamic_speed_cap=False
# launch.dynamic_cap_a_lat_max=3.2
# launch.dynamic_cap_safety=0.9
# launch.v_max=18.0
# launch.v_min=1.5
# mpc_params.q_e_y=6.35
# mpc_params.q_e_yd=0.5
# mpc_params.q_e_psi=1.65
# mpc_params.q_r=1.0
# mpc_params.q_e_v=5.4
# mpc_params.r_delta=1.8
# mpc_params.r_a_accel=2.25
# mpc_params.r_a_brake=0.5
# mpc_params.r_rate_delta=2.5
# mpc_params.r_rate_a=2.25
# mpc_params.terminal_q_scale=1.0
# mpc_params.adaptive_q_scaling_enabled=False
# mpc_params.steer_rate_anti_hunt_enabled=True
# mpc_params.adaptive_r_rate_enable_in_corners=True
# mpc_params.delay_compensation_enabled=True
# mpc_params.ref_heading_rate_limit_enabled=False
# mpc_params.ref_heading_rise_rate_deg_s=90.0
# mpc_params.max_delay_compensation_steps=3
# mpc_params.predict_epsi_clip=0.5
# mpc_params.pose_age_lp_alpha=0.15
# mpc_params.n_delay_hysteresis=0.25
# mpc_params.adaptive_r_rate_during_floor=0.625
# mpc_params.anti_hunt_boost_max=6.0
# mpc_params.corner_factor_k=8.0
# mpc_params.q_ey_straight=4.5
# mpc_params.q_ey_corner=9.0
# mpc_params.q_epsi_straight=1.5
# mpc_params.q_epsi_corner=3.0
# mpc_params.q_r_straight=1.0
# mpc_params.q_r_corner=0.5
# mpc_params.rrate_steer_straight=2.0
# mpc_params.rrate_steer_corner=1.25
# mpc_params.r_steer_corner_mid=1.35
# mpc_params.low_speed_corner_boost_v_half=4.0
# mpc_params.low_speed_corner_boost_max_extra=0.3
# mpc_params.epsi_ra_half_rad=0.17453292519943295
# mpc_params.epsi_ra_accel_boost_max=2.0
# mpc_params.epsi_ra_brake_floor=0.5
# mpc_params.nmpc_q_e_y=-1.0
# mpc_params.nmpc_q_e_yd=-1.0
# mpc_params.nmpc_q_e_psi=-1.0
# mpc_params.nmpc_q_epsi_dot=-1.0
# mpc_params.nmpc_q_e_v=-1.0
# mpc_params.nmpc_r_delta=-1.0
# mpc_params.nmpc_r_a_accel=-1.0
# mpc_params.nmpc_r_a_brake=-1.0
# mpc_params.nmpc_r_rate_delta=-1.0
# mpc_params.nmpc_r_rate_a=-1.0
# mpc_params.nmpc_terminal_scale=-1.0
# nmpc_params.use_nmpc=True
# nmpc_params.nmpc_horizon=20
# nmpc_params.nmpc_sqp_iters=1
# nmpc_params.nmpc_solve_budget_ms=25.0
# nmpc_params.nmpc_rk_substeps=2
# nmpc_params.nmpc_jac_substeps=1
# nmpc_params.nmpc_trust_delta_rad=0.15707963267948966
# nmpc_params.nmpc_trust_a=0.6
# nmpc_params.nmpc_backtrack_max=2
# nmpc_params.nmpc_track_halfwidth=3.5
# nmpc_params.nmpc_slack_weight=10000.0
# nmpc_params.nmpc_curvature_dense_step=0.5
# nmpc_params.nmpc_curvature_smooth_w=3
# nmpc_params.nmpc_kappa_clip=0.5
# nmpc_params.nmpc_alat_ceiling_enabled=True
# nmpc_params.nmpc_osqp_max_iter=500
# nmpc_params.nmpc_osqp_eps=0.0001
# nmpc_effective.w_out=[6.35, 0.5, 1.65, 1.0, 5.4]
# nmpc_effective.r_delta=1.8
# nmpc_effective.r_a_accel=2.25
# nmpc_effective.r_a_brake=0.5
# nmpc_effective.r_rate=[2.5, 2.25]
# nmpc_effective.terminal_scale=1.0
# lap_time_s=52.3495
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.532012
# n_steps=1214
# rmse=0.378183
# peak_lateral_error_m=1.179072
# speed_rmse_mps=3.220934
# yaw_rms_radps=0.447572
# max_yaw_rate_radps=1.375391
# control_smooth_rms=0.226654
# jerk_rms=0.246474
# steer_rms=0.143954
# accel_rms_mps2=1.881400
# max_steering_rad=0.436331
# max_accel_mps2=12.000000
# steering_sat_ratio=0.005766
# steering_reversal_rms=0.056059
# steering_reversal_rate=0.186161
# steering_reversals=226
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,kappa_growth_rate,kappa_max_abs_effective,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_R_steer_relax,m_Rrate_corner,m_Rrate_antihunt,m_Rrate_lowspeed,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,kappa_horizon_end,w_epsi_sum,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs
0.0000,0.0000,0.0001,-0.00000,0.000,18.000,0.000,0.1769,-0.805,0.0000,0.000000,0.6000,0,0,0.0948,0.0000,2,11.745,12.137,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,35596.97853,-1.05971,0.00938,0.17243,-0.01677,0.17687
0.0498,0.0000,0.0001,-0.00000,0.000,18.000,-1.088,0.1769,-0.805,0.0000,-0.018989,1.2000,0,0,0.0625,0.0000,2,11.601,11.956,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,34347.08338,-1.05971,0.00938,0.14909,-0.03430,0.17686
0.0980,0.0000,0.0001,-0.00000,0.000,18.000,-2.805,0.1769,-0.805,0.0000,-0.048951,1.8000,0,0,0.0728,0.0000,2,9.742,10.180,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,33041.58158,-1.05971,0.00938,0.10549,-0.05914,0.17680
0.1536,0.0000,0.0001,-0.00000,0.000,18.000,-3.267,0.1769,-0.805,0.0000,-0.057012,2.4000,0,0,0.0738,0.0000,2,15.300,15.661,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,31799.57080,-1.05971,0.00938,0.00893,-0.11316,0.17666
0.2023,0.0000,0.0000,0.00001,-0.001,18.000,0.583,0.1769,-0.805,0.0002,0.010177,3.0000,0,0,0.0516,0.0000,2,13.780,14.192,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,30592.45643,-1.05970,0.00938,-0.20567,-0.20853,0.20567
0.2508,0.0000,0.0003,-0.00004,-0.001,18.000,-1.340,0.1770,-0.808,-0.0015,-0.023391,3.6000,0,0,0.0502,0.0000,2,12.652,12.934,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,29451.18954,-1.05968,0.00938,-0.43207,-0.28642,0.43207
0.3003,0.0001,-0.0012,-0.00004,-0.001,18.000,1.990,0.1755,-0.807,0.0001,0.034737,4.2000,0,0,0.0676,0.0000,2,11.952,12.414,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,28331.96940,-1.05964,0.00907,-0.75121,-0.39052,0.75121
0.3508,0.0002,0.0004,-0.00003,-0.000,18.000,-7.010,0.1772,-0.807,0.0001,-0.122342,4.8000,0,0,0.0826,0.0000,2,12.740,13.009,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,27299.25663,-1.05956,0.00872,-1.09911,-0.46982,1.09911
0.3979,0.0002,0.0004,-0.00003,-0.000,18.000,-16.009,0.1772,-0.807,0.0000,-0.279414,5.4000,0,0,0.0520,0.0000,2,9.703,10.002,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,26345.88528,-1.05948,0.00844,-1.41871,-0.54934,1.41871
0.4492,0.0003,-0.0010,-0.00001,0.000,18.000,-15.998,0.1758,-0.806,0.0005,-0.279216,6.0000,0,0,0.0664,0.0000,2,11.090,11.406,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,25378.93618,-1.05945,0.00828,-1.90039,-0.69204,1.90039
0.4993,0.0131,-0.0012,0.00032,0.378,18.000,-24.998,0.1757,-0.787,0.0093,-0.436296,6.6000,0,0,0.0681,0.0000,2,11.171,11.469,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,23357.49965,-1.04664,0.00787,-2.43017,-0.73609,2.43017
0.5547,0.0742,-0.0036,0.00013,1.097,18.000,-24.999,0.1723,-0.798,-0.0053,-0.436316,7.2000,0,0,0.0465,0.0000,2,16.522,16.882,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,20541.95014,-0.98554,0.00759,-3.15248,-0.59245,3.15248
0.6024,0.1228,-0.0071,-0.00027,1.453,18.000,-16.002,0.1678,-0.821,-0.0111,-0.279294,7.8000,0,0,0.0486,0.0000,2,14.148,14.536,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,19003.67291,-0.93706,0.00759,-3.40116,-0.48253,3.40116
0.6487,0.1830,-0.0127,-0.00111,1.805,18.000,-19.360,0.1608,-0.869,-0.0175,-0.337897,8.4000,0,0,0.0615,0.0000,2,10.267,10.696,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,17580.89719,-0.87690,0.00757,-2.77358,-0.33515,2.77358
0.6979,0.2548,-0.0207,-0.00262,2.151,18.000,-25.000,0.1507,-0.956,-0.0409,-0.436331,9.0000,0,0,0.0756,0.0000,2,9.696,10.014,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,16375.68110,-0.80528,0.00760,-2.56287,0.08279,2.56287
0.7595,0.4319,-0.0457,-0.00866,2.825,18.000,-16.000,0.1190,-1.302,-0.0734,-0.279251,9.6000,0,0,0.0425,0.0000,1,21.384,21.659,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,15450.57606,-0.62862,0.00761,-1.66997,-0.15786,1.66997
0.8109,0.5368,-0.0633,-0.01364,3.154,18.000,-25.000,0.0964,-1.587,-0.1464,-0.436331,10.2000,0,0,0.0566,0.0000,1,22.244,22.652,0.00938,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,14661.72940,-0.52407,0.00732,-1.00255,0.29740,1.11116
