# fsae control log — tag=mpc_standalone
# t0_epoch_s=1786595532.3082  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=mpc_standalone
# use_nmpc=1
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# launch.use_precomputed_heading_profile=True
# launch.enable_dynamic_speed_cap=False
# launch.dynamic_cap_a_lat_max=3.2
# launch.dynamic_cap_safety=0.9
# launch.v_max=18.0
# launch.v_min=1.5
# mpc_params.q_e_y=6.35
# mpc_params.q_e_yd=0.5
# mpc_params.q_e_psi=1.65
# mpc_params.q_r=1.0
# mpc_params.q_e_v=5.4
# mpc_params.r_delta=1.35
# mpc_params.r_a_accel=2.25
# mpc_params.r_a_brake=0.5
# mpc_params.r_rate_delta=2.8
# mpc_params.r_rate_a=2.25
# mpc_params.terminal_q_scale=1.0
# mpc_params.adaptive_q_scaling_enabled=False
# mpc_params.steer_rate_anti_hunt_enabled=True
# mpc_params.adaptive_r_rate_enable_in_corners=True
# mpc_params.delay_compensation_enabled=True
# mpc_params.ref_heading_rate_limit_enabled=False
# mpc_params.ref_heading_rise_rate_deg_s=90.0
# mpc_params.max_delay_compensation_steps=3
# mpc_params.predict_epsi_clip=0.5
# mpc_params.pose_age_lp_alpha=0.15
# mpc_params.n_delay_hysteresis=0.25
# mpc_params.adaptive_r_rate_during_floor=0.625
# mpc_params.anti_hunt_boost_max=6.0
# mpc_params.corner_factor_k=8.0
# mpc_params.q_ey_straight=4.5
# mpc_params.q_ey_corner=9.0
# mpc_params.q_epsi_straight=1.5
# mpc_params.q_epsi_corner=3.0
# mpc_params.q_r_straight=1.0
# mpc_params.q_r_corner=0.5
# mpc_params.rrate_steer_straight=2.0
# mpc_params.rrate_steer_corner=1.25
# mpc_params.r_steer_corner_mid=1.35
# mpc_params.low_speed_corner_boost_v_half=4.0
# mpc_params.low_speed_corner_boost_max_extra=0.3
# mpc_params.epsi_ra_half_rad=0.17453292519943295
# mpc_params.epsi_ra_accel_boost_max=2.0
# mpc_params.epsi_ra_brake_floor=0.5
# mpc_params.nmpc_q_e_y=-1.0
# mpc_params.nmpc_q_e_yd=-1.0
# mpc_params.nmpc_q_e_psi=-1.0
# mpc_params.nmpc_q_epsi_dot=-1.0
# mpc_params.nmpc_q_e_v=-1.0
# mpc_params.nmpc_r_delta=-1.0
# mpc_params.nmpc_r_a_accel=-1.0
# mpc_params.nmpc_r_a_brake=-1.0
# mpc_params.nmpc_r_rate_delta=-1.0
# mpc_params.nmpc_r_rate_a=-1.0
# mpc_params.nmpc_terminal_scale=-1.0
# nmpc_params.use_nmpc=True
# nmpc_params.nmpc_horizon=20
# nmpc_params.nmpc_sqp_iters=1
# nmpc_params.nmpc_solve_budget_ms=25.0
# nmpc_params.nmpc_rk_substeps=2
# nmpc_params.nmpc_jac_substeps=1
# nmpc_params.nmpc_trust_delta_rad=0.15707963267948966
# nmpc_params.nmpc_trust_a=0.6
# nmpc_params.nmpc_backtrack_max=2
# nmpc_params.nmpc_track_halfwidth=3.5
# nmpc_params.nmpc_slack_weight=10000.0
# nmpc_params.nmpc_curvature_dense_step=0.5
# nmpc_params.nmpc_curvature_smooth_w=3
# nmpc_params.nmpc_kappa_clip=0.5
# nmpc_params.nmpc_alat_ceiling_enabled=True
# nmpc_params.nmpc_spline_reference_enabled=True
# nmpc_params.nmpc_horizon_speed_profile_enabled=False
# nmpc_params.nmpc_friction_circle_enabled=False
# nmpc_params.nmpc_osqp_max_iter=500
# nmpc_params.nmpc_osqp_eps=0.0001
# nmpc_effective.w_out=[6.35, 0.5, 1.65, 1.0, 5.4]
# nmpc_effective.r_delta=1.35
# nmpc_effective.r_a_accel=2.25
# nmpc_effective.r_a_brake=0.5
# nmpc_effective.r_rate=[2.8, 2.25]
# nmpc_effective.terminal_scale=1.0
# lap_time_s=51.4966
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.474191
# n_steps=1107
# rmse=0.312563
# peak_lateral_error_m=0.967912
# speed_rmse_mps=2.814328
# yaw_rms_radps=0.466300
# max_yaw_rate_radps=1.365406
# control_smooth_rms=0.212689
# jerk_rms=0.272205
# steer_rms=0.140886
# accel_rms_mps2=1.448369
# max_steering_rad=0.436332
# max_accel_mps2=10.274637
# steering_sat_ratio=0.000903
# steering_reversal_rms=0.055556
# steering_reversal_rate=0.178862
# steering_reversals=198
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
0.0000,0.0000,0.0001,-0.00000,0.000,18.000,0.000,0.1663,-0.231,0.0000,0.000000,0.6000,0,0,0.0508,0.0000,1,13.092,13.488,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,35596.53386,-1.06142,0.01047,0.16470,-0.00706,0.16630,,
0.0472,0.0000,0.0001,-0.00000,0.000,18.000,-1.249,0.1663,-0.231,0.0000,-0.021802,1.2000,0,0,0.0583,0.0000,1,10.388,10.724,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,34346.65959,-1.06142,0.01047,0.14158,-0.02715,0.16630,,
0.0983,0.0000,0.0001,-0.00000,0.000,18.000,-2.977,0.1663,-0.231,0.0000,-0.051956,1.8000,0,0,0.0760,0.0000,1,11.545,11.883,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,33157.39152,-1.06142,0.01047,0.10271,-0.05226,0.16629,,
0.1468,0.0000,0.0001,-0.00000,0.000,18.000,-3.815,0.1663,-0.231,0.0000,-0.066585,2.4000,0,0,0.0817,0.0000,1,9.961,10.282,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,32026.91634,-1.06142,0.01033,0.02148,-0.10003,0.16625,,
0.1961,0.0000,0.0002,-0.00004,-0.001,18.000,-1.346,0.1663,-0.234,-0.0011,-0.023492,3.0000,0,0,0.0598,0.0000,1,9.323,9.587,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,30927.76118,-1.06140,0.01012,-0.19541,-0.22143,0.19541,,
0.5346,0.0000,0.0002,-0.00004,-0.001,18.000,7.654,0.1663,-0.234,-0.0011,0.133587,3.6000,0,0,0.3908,0.0000,2,16.810,17.112,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,29375.30505,-1.06140,0.00974,-0.58092,-0.38960,0.58092,,
0.8662,0.0001,-0.0006,-0.00004,-0.001,18.000,16.654,0.1656,-0.233,-0.0011,0.290666,4.2000,0,0,0.6806,0.0000,3,14.381,14.679,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,27980.30463,-1.06134,0.00862,-0.33017,-0.20036,0.33017,,
0.8991,0.9111,-0.0273,-0.00294,4.233,18.000,18.191,0.1332,-0.400,-0.0045,0.317495,4.8000,0,0,0.0555,0.0000,3,12.117,12.452,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,14258.31563,-0.15046,0.00716,-0.19097,-0.03367,0.40921,,
0.9475,1.0641,-0.0308,-0.00310,4.587,18.000,18.192,0.1289,-0.410,-0.0044,0.317504,5.4000,0,0,0.0570,0.0000,3,10.688,10.963,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,12686.13919,0.00249,0.00754,-0.02957,-0.04768,0.67096,,
1.0007,1.2288,-0.0346,-0.00326,4.942,18.000,13.961,0.1244,-0.517,-0.0034,0.243663,6.0000,0,0,0.0735,0.0000,3,13.685,14.088,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,11436.94179,0.16723,0.00712,1.07376,0.08388,1.07376,,
1.0513,1.4051,-0.0357,-0.00306,5.286,18.000,6.066,0.1221,-0.610,0.0059,0.105874,6.6000,0,0,0.0887,0.0000,3,14.343,14.745,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,10322.80692,0.34408,0.00711,0.11536,0.06138,0.48387,,
1.0973,1.7936,-0.0269,-0.00008,5.989,18.000,6.066,0.1294,-0.664,0.0411,0.105874,7.2000,0,0,0.0586,0.0000,3,10.452,10.792,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,8721.40295,0.73330,0.00723,0.11236,-0.01216,0.40429,,
1.1488,2.0045,-0.0182,0.00307,6.323,18.000,0.086,0.1375,-0.604,0.0933,0.001502,7.8000,0,0,0.0726,0.0000,3,11.886,12.262,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,7942.08375,0.94427,0.00648,0.04851,0.10587,0.28325,,
1.2002,2.2263,-0.0064,0.00765,6.653,18.000,0.084,0.1495,-0.460,0.1269,0.001460,8.4000,0,0,0.0759,0.0000,2,13.268,13.654,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,7719.04652,1.16688,0.00693,0.40321,0.08184,0.40321,,
1.2510,2.7041,0.0233,0.02036,7.343,18.000,-8.916,0.1794,0.025,0.1777,-0.155619,9.0000,0,0,0.0511,0.0000,2,13.914,14.342,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,6507.74208,1.64588,0.00623,-0.46846,0.03144,0.47293,,
1.2989,2.9607,0.0379,0.02731,7.703,18.000,-16.963,0.1934,0.299,0.1907,-0.296067,9.6000,0,0,0.0520,0.0000,2,11.962,12.334,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,5928.40853,1.90278,0.00609,-0.85276,-0.16667,0.85276,,
1.3466,3.2290,0.0517,0.03345,8.052,18.000,-8.984,0.2053,0.527,0.1262,-0.156808,10.2000,0,0,0.0678,0.0000,2,9.622,9.979,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,5332.34749,2.17200,0.00667,-0.64741,-0.00550,0.66627,,
1.3985,3.5085,0.0657,0.03852,8.394,18.000,-1.941,0.2157,0.691,0.1474,-0.033880,10.2746,0,0,0.0828,0.0000,2,11.572,11.900,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,4819.88454,2.45177,0.00613,-0.10224,0.00075,0.17591,,
1.4492,4.1004,0.0874,0.04345,9.045,18.000,4.746,0.2239,0.706,0.0333,0.082833,9.7491,0,0,0.0557,0.0000,2,12.364,12.653,,,,,,,,,,,,,,,,,,,,1.00000,1.00000,4091.78705,3.04559,0.00587,0.16687,0.02396,0.20516,,
