# fsae control log — tag=stanley
# t0_epoch_s=1787611615.8184  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=stanley
# use_nmpc=0
# launch.stanley_gain=1.0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/centerline.csv'
# lap_time_s=55.2986
# optimal_time_s=43.1394  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.397371
# n_steps=1186
# rmse=0.196414
# peak_lateral_error_m=0.433563
# speed_rmse_mps=3.695559
# yaw_rms_radps=0.424757
# max_yaw_rate_radps=1.364070
# control_smooth_rms=0.021298
# jerk_rms=0.035861
# steer_rms=0.108182
# accel_rms_mps2=0.000000
# max_steering_rad=0.362426
# max_accel_mps2=0.000000
# steering_sat_ratio=0.000000
# steering_reversal_rms=0.000913
# steering_reversal_rate=0.000843
# steering_reversals=1
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,corner_frac_ahead,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,m_Rrate_zone,m_Rrate_reversal,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs,nmpc_speed_limit_over_max
0.0000,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,3.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0427,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,1.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0923,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1427,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,1.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1920,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2416,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2923,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,1.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3440,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3919,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4444,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4918,0.0001,-0.0004,0.00000,0.000,18.000,-10.078,0.1853,0.419,0.0000,-0.175897,0.0000,0,0,,,,,0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
