# fsae control log — tag=stanley
# t0_epoch_s=1786481627.9241  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# lap_time_s=53.0998
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.302614
# n_steps=1206
# rmse=0.138014
# peak_lateral_error_m=0.410403
# speed_rmse_mps=2.504506
# yaw_rms_radps=0.437304
# max_yaw_rate_radps=1.535486
# control_smooth_rms=0.034204
# jerk_rms=0.057833
# steer_rms=0.118301
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.003317
# steering_reversal_rms=0.002916
# steering_reversal_rate=0.003317
# steering_reversals=4
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,kappa,kappa_max_abs,corner_demand,demand_frac,alat_ceiling,uturn_severity,last_peak_kappa,dist_since_peak,m_Q_ey_approach,m_Q_ey_straight,m_Q_ey_uturn,m_Q_ey_soften,m_Q_epsi_approach,m_Q_epsi_exit,m_Q_epsi_straight,m_Q_epsi_uturn,m_Q_r_relax,m_Q_r_straight,m_Q_r_uturn,m_R_speed,m_R_straight,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff
0.0000,0.0000,0.0001,-0.00000,0.000,18.000,-5.570,0.0683,-1.661,0.0000,-0.097220,0.0000,0,0,,0.0078,,,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0496,0.0000,0.0001,-0.00000,0.000,18.000,-5.570,0.0683,-1.661,0.0000,-0.097220,0.0000,0,0,,0.0351,,,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1002,0.0000,0.0001,-0.00000,0.000,18.000,-5.570,0.0683,-1.661,0.0000,-0.097220,0.0000,0,0,,0.0442,,,0.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1496,0.0000,0.0001,-0.00000,0.000,18.000,-5.570,0.0683,-1.661,0.0000,-0.097219,0.0000,0,0,,0.0423,,,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1995,0.0000,0.0001,0.00001,0.001,18.000,-5.566,0.0683,-1.661,0.0002,-0.097147,0.0000,0,0,,0.0448,,,0.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2495,0.0000,0.0003,-0.00004,0.008,18.000,-5.541,0.0685,-1.658,-0.0012,-0.096704,0.0000,0,0,,0.0453,,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2996,0.0273,-0.0022,-0.00060,0.596,18.000,-3.917,0.0659,-1.628,-0.0131,-0.068358,0.0000,0,0,,0.0450,,,0.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3500,0.0589,-0.0044,-0.00061,0.950,18.000,-3.497,0.0647,-1.598,-0.0003,-0.061040,0.0000,0,0,,0.0450,,,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3994,0.1025,-0.0076,-0.00078,1.308,18.000,-3.085,0.0625,-1.554,-0.0033,-0.053847,0.0000,0,0,,0.0440,,,0.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4495,0.1581,-0.0114,-0.00096,1.669,18.000,-2.755,0.0601,-1.494,-0.0051,-0.048081,0.0000,0,0,,0.0441,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
