t,idx,x,y
0.0000,0,0.0000,0.0001
0.0000,1,0.4993,-0.0258
0.0000,2,0.9988,-0.0486
0.0000,3,1.4984,-0.0682
0.0000,4,1.9982,-0.0827
0.0000,5,2.4981,-0.0938
0.0000,6,2.9980,-0.1020
0.0000,7,3.4980,-0.1058
0.0000,8,3.9980,-0.1061
0.0000,9,4.4980,-0.1037
0.0000,10,4.9980,-0.0976
0.0000,11,5.4979,-0.0879
0.0000,12,5.9977,-0.0757
0.0000,13,6.4975,-0.0605
0.0000,14,6.9971,-0.0416
0.0000,15,7.4967,-0.0205
0.0000,16,7.9961,0.0030
0.0000,17,8.4954,0.0302
0.0000,18,8.9945,0.0594
0.0000,19,9.4936,0.0906
0.0000,20,9.9924,0.1252
0.0000,21,10.4910,0.1617
0.0000,22,10.9896,0.1999
0.0000,23,11.4879,0.2410
0.0000,24,11.9860,0.2840
0.0000,25,12.4840,0.3284
0.0000,26,12.9818,0.3752
0.0000,27,13.4795,0.4238
0.0000,28,13.9770,0.4737
0.0000,29,14.4743,0.5255
0.0000,30,14.9714,0.5790
0.0000,31,15.4684,0.6336
0.0000,32,15.9653,0.6896
0.0000,33,16.4620,0.7471
0.0000,34,16.9585,0.8056
0.0000,35,17.4550,0.8651
0.0000,36,17.9513,0.9260
0.0000,37,18.4474,0.9876
0.0000,38,18.9435,1.0499
0.0000,39,19.4395,1.1134
0.0000,40,19.9354,1.1773
0.0000,41,20.4312,1.2418
0.0000,42,20.9270,1.3069
0.0000,43,21.1208,1.3324
1.0495,0,2.1884,-0.0906
1.0495,1,2.6874,-0.1112
1.0495,2,3.1874,-0.1128
1.0495,3,3.6873,-0.1080
1.0495,4,4.1872,-0.0987
1.0495,5,4.6871,-0.0860
1.0495,6,5.1868,-0.0711
1.0495,7,5.6865,-0.0544
1.0495,8,6.1862,-0.0361
1.0495,9,6.6858,-0.0163
1.0495,10,7.1853,0.0047
1.0495,11,7.6848,0.0271
1.0495,12,8.1842,0.0510
