# fsae control log — tag=stanley
# t0_epoch_s=1786594711.2043  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=stanley
# use_nmpc=0
# launch.stanley_gain=1.0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# lap_time_s=51.6493
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.300376
# n_steps=1139
# rmse=0.192611
# peak_lateral_error_m=0.513977
# speed_rmse_mps=3.253425
# yaw_rms_radps=0.441568
# max_yaw_rate_radps=1.390918
# control_smooth_rms=0.022592
# jerk_rms=0.038100
# steer_rms=0.108803
# accel_rms_mps2=0.000000
# max_steering_rad=0.388625
# max_accel_mps2=0.000000
# steering_sat_ratio=0.000000
# steering_reversal_rms=0.000000
# steering_reversal_rate=0.000000
# steering_reversals=0
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
0.0000,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0495,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0999,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1491,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1996,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2491,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2993,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3494,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4000,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4492,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4995,0.0000,0.0000,-0.00000,0.000,18.000,-8.924,0.1636,0.369,0.0000,-0.155749,0.0000,0,0,,,,,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
