# fsae control log — tag=stanley
# t0_epoch_s=1787121949.1745  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=stanley
# use_nmpc=0
# launch.stanley_gain=1.0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path=''
# lap_time_s=56.0507
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.763256
# n_steps=3579
# rmse=0.610247
# peak_lateral_error_m=3.210538
# speed_rmse_mps=1.839625
# yaw_rms_radps=0.467086
# max_yaw_rate_radps=2.026017
# control_smooth_rms=0.041178
# jerk_rms=0.067286
# steer_rms=0.155269
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.056720
# steering_reversal_rms=0.019310
# steering_reversal_rate=0.003912
# steering_reversals=14
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
0.0000,0.0000,0.0000,-0.00000,0.000,18.000,-5.568,0.0683,-1.660,0.0000,-0.097186,0.0000,0,0,,0.0454,,,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0508,0.0000,0.0000,-0.00000,0.000,18.000,-5.568,0.0683,-1.660,0.0000,-0.097186,0.0000,0,0,,0.0463,,,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0998,0.0000,0.0000,-0.00000,0.000,18.000,-5.568,0.0683,-1.660,0.0000,-0.097186,0.0000,0,0,,0.0427,,,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1506,0.0000,0.0000,-0.00000,0.000,18.000,-5.568,0.0683,-1.660,0.0000,-0.097185,0.0000,0,0,,0.0461,,,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2004,0.0000,0.0000,0.00001,0.001,18.000,-5.565,0.0683,-1.661,0.0002,-0.097123,0.0000,0,0,,0.0444,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2500,0.0074,-0.0007,-0.00015,0.217,18.000,-4.810,0.0676,-1.652,-0.0033,-0.083959,0.0000,0,0,,0.0455,,,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3011,0.0074,-0.0007,-0.00015,0.585,18.000,-4.024,0.0676,-1.643,-0.0108,-0.070231,0.0000,0,0,,0.0462,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3503,0.0575,-0.0042,-0.00057,0.938,18.000,-3.536,0.0649,-1.618,-0.0002,-0.061712,0.0000,0,0,,0.0404,,,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4003,0.1007,-0.0072,-0.00071,1.296,18.000,-3.111,0.0630,-1.560,-0.0034,-0.054302,0.0000,0,0,,0.0422,,,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4505,0.1560,-0.0109,-0.00088,1.657,18.000,-2.785,0.0606,-1.502,-0.0042,-0.048609,0.0000,0,0,,0.0459,,,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5004,0.2232,-0.0149,-0.00106,2.017,18.000,-2.513,0.0580,-1.431,-0.0035,-0.043863,0.0000,0,0,,0.0438,,,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5506,0.3024,-0.0193,-0.00123,2.376,18.000,-2.257,0.0552,-1.348,-0.0049,-0.039393,0.0000,0,0,,0.0453,,,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6004,0.4965,-0.0290,-0.00156,3.091,18.000,-1.917,0.0494,-1.244,-0.0032,-0.033462,0.0000,0,0,,0.0446,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6504,0.4965,-0.0290,-0.00156,3.447,18.000,-1.655,0.0485,-1.055,-0.0043,-0.028893,0.0000,0,0,,0.0457,,,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7004,0.7382,-0.0394,-0.00186,3.803,18.000,-1.497,0.0419,-1.014,-0.0030,-0.026125,0.0000,0,0,,0.0424,,,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7506,0.8768,-0.0447,-0.00200,4.158,18.000,-1.138,0.0365,-0.751,-0.0032,-0.019855,0.0000,0,0,,0.0440,,,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8005,1.0272,-0.0500,-0.00214,4.512,18.000,-0.892,0.0313,-0.592,-0.0044,-0.015567,0.0000,0,0,,0.0424,,,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8503,1.1744,-0.0547,-0.00225,4.842,18.000,-0.681,0.0265,-0.434,-0.0022,-0.011890,0.0000,0,0,,0.0442,,,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9009,1.3473,-0.0596,-0.00237,5.189,18.000,-0.467,0.0215,-0.283,-0.0027,-0.008148,0.0000,0,0,,0.0442,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9507,1.5338,-0.0639,-0.00262,5.589,18.000,-0.207,0.0165,-0.109,-0.0079,-0.003604,0.0000,0,0,,0.0437,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0004,1.9320,-0.0719,-0.00286,6.269,18.000,0.360,0.0080,0.411,-0.0021,0.006282,0.0000,0,0,,0.0403,,,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0506,2.1526,-0.0756,-0.00293,6.617,18.000,0.809,0.0317,1.036,-0.0019,0.014116,0.0000,0,0,,0.0431,,,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1004,2.3849,-0.0789,-0.00297,6.965,18.000,0.892,0.0117,0.972,-0.0008,0.015572,0.0000,0,0,,0.0436,,,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1504,2.6287,-0.0813,-0.00296,7.314,18.000,1.023,-0.0012,1.017,0.0003,0.017862,0.0000,0,0,,0.0452,,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2006,2.8841,-0.0827,-0.00288,7.663,18.000,1.366,-0.0087,1.323,0.0025,0.023840,0.0000,0,0,,0.0450,,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2509,3.1318,-0.0831,-0.00277,7.987,18.000,1.249,-0.0156,1.162,0.0021,0.021807,0.0000,0,0,,0.0453,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3010,3.4095,-0.0826,-0.00258,8.332,18.000,1.582,-0.0195,1.487,0.0043,0.027610,0.0000,0,0,,0.0435,,,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3515,3.6986,-0.0810,-0.00229,8.675,18.000,1.685,-0.0234,1.598,0.0090,0.029401,0.0000,0,0,,0.0435,,,0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4005,4.3013,-0.0755,-0.00112,9.346,18.000,1.751,-0.0312,1.669,0.0158,0.030562,0.0000,0,0,,0.0411,,,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4503,4.6241,-0.0715,-0.00001,9.684,18.000,1.908,-0.0330,1.917,0.0325,0.033304,0.0000,0,0,,0.0436,,,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5005,4.9581,-0.0667,0.00154,10.022,18.000,2.006,-0.0353,1.992,0.0297,0.035003,0.0000,0,0,,0.0444,,,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5508,5.3032,-0.0609,0.00360,10.355,18.000,1.954,-0.0371,2.034,0.0464,0.034112,0.0000,0,0,,0.0445,,,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6009,5.6592,-0.0541,0.00622,10.684,18.000,1.744,-0.0382,2.057,0.0872,0.030445,0.0000,0,0,,0.0425,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
