t,idx,x,y
0.0000,0,0.0000,0.0000
0.0000,1,0.7278,-0.0377
0.0000,2,1.4560,-0.0670
0.0000,3,2.1847,-0.0882
0.0000,4,2.9139,-0.1014
0.0000,5,3.6434,-0.1069
0.0000,6,4.3731,-0.1052
0.0000,7,5.1032,-0.0963
0.0000,8,5.8334,-0.0807
0.0000,9,6.5638,-0.0585
0.0000,10,7.2942,-0.0300
0.0000,11,8.0247,0.0044
0.0000,12,8.7552,0.0445
0.0000,13,9.4856,0.0901
0.0000,14,10.2160,0.1408
0.0000,15,10.9461,0.1964
0.0000,16,11.6760,0.2566
0.0000,17,12.4057,0.3211
0.0000,18,13.1350,0.3896
0.0000,19,13.8639,0.4620
0.0000,20,14.5924,0.5378
0.0000,21,15.3204,0.6169
0.0000,22,16.0479,0.6989
0.0000,23,16.7748,0.7836
0.0000,24,17.5010,0.8707
0.0000,25,18.2266,0.9599
0.0000,26,18.9514,1.0509
0.0000,27,19.6754,1.1435
0.0000,28,20.3986,1.2375
0.0000,29,21.1208,1.3324
1.0004,0,1.5338,-0.0633
1.0004,1,2.0337,-0.0725
1.0004,2,2.5337,-0.0790
1.0004,3,3.0336,-0.0829
1.0004,4,3.5336,-0.0837
1.0004,5,4.0336,-0.0815
1.0004,6,4.5336,-0.0769
1.0004,7,5.0336,-0.0697
1.0004,8,5.5334,-0.0594
1.0004,9,6.0333,-0.0467
1.0004,10,6.5330,-0.0315
1.0004,11,7.0327,-0.0139
1.0004,12,7.5323,0.0065
1.0004,13,8.0318,0.0291
1.0004,14,8.5312,0.0539
1.0004,15,9.0304,0.0813
1.0004,16,9.5296,0.1109
1.0004,17,10.0286,0.1426
1.0004,18,10.5274,0.1764
1.0004,19,11.0261,0.2126
1.0004,20,11.5246,0.2507
1.0004,21,12.0230,0.2908
1.0004,22,12.5212,0.3331
1.0004,23,13.0193,0.3772
1.0004,24,13.5172,0.4232
1.0004,25,14.0149,0.4710
1.0004,26,14.5124,0.5208
1.0004,27,15.0097,0.5722
1.0004,28,15.5069,0.6253
1.0004,29,16.0039,0.6802
1.0004,30,16.5007,0.7368
1.0004,31,16.9973,0.7949
1.0004,32,17.4937,0.8545
1.0004,33,17.9899,0.9158
1.0004,34,18.4860,0.9784
1.0004,35,18.9819,1.0424
1.0004,36,19.4776,1.1080
1.0004,37,19.9731,1.1748
1.0004,38,20.4684,1.2430
1.0004,39,20.9636,1.3124
1.0004,40,21.4585,1.3832
1.0004,41,21.9533,1.4553
1.0004,42,22.4479,1.5286
1.0004,43,22.9423,1.6031
1.0004,44,23.4366,1.6787
1.0004,45,23.9307,1.7553
1.0004,46,24.4246,1.8330
1.0004,47,24.8350,1.8986
1.0004,48,24.9021,1.9094
2.0006,0,14.7491,0.5722
2.0006,1,15.2464,0.6245
2.0006,2,15.7435,0.6779
2.0006,3,16.2405,0.7327
2.0006,4,16.7373,0.7887
2.0006,5,17.2340,0.8460
2.0006,6,17.7306,0.9045
2.0006,7,18.2270,0.9641
2.0006,8,18.7233,1.0252
2.0006,9,19.2194,1.0875
2.0006,10,19.7154,1.1509
2.0006,11,20.2111,1.2158
2.0006,12,20.7068,1.2818
2.0006,13,21.2022,1.3492
2.0006,14,21.6975,1.4178
2.0006,15,22.1926,1.4877
2.0006,16,22.6874,1.5590
2.0006,17,23.1822,1.6314
2.0006,18,23.6767,1.7052
2.0006,19,24.1710,1.7804
2.0006,20,24.6652,1.8567
2.0006,21,25.1591,1.9345
2.0006,22,25.6528,2.0136
2.0006,23,26.1463,2.0938
2.0006,24,26.6396,2.1756
2.0006,25,27.1326,2.2585
2.0006,26,27.6255,2.3427
2.0006,27,28.1181,2.4286
2.0006,28,28.6105,2.5154
2.0006,29,29.1026,2.6038
2.0006,30,29.5945,2.6936
2.0006,31,30.0861,2.7844
2.0006,32,30.5775,2.8770
2.0006,33,31.0686,2.9707
2.0006,34,31.5596,3.0656
2.0006,35,32.0501,3.1623
2.0006,36,32.5405,3.2601
2.0006,37,33.0305,3.3591
2.0006,38,33.5203,3.4600
2.0006,39,34.0098,3.5618
2.0006,40,34.4990,3.6651
2.0006,41,34.9879,3.7700
2.0006,42,35.4765,3.8759
2.0006,43,35.9648,3.9836
2.0006,44,36.4528,4.0926
2.0006,45,36.9309,4.2003
3.0017,0,26.4642,2.1444
3.0017,1,26.9562,2.2333
3.0017,2,27.4483,2.3219
3.0017,3,27.9404,2.4101
3.0017,4,28.4326,2.4981
3.0017,5,28.9248,2.5861
3.0017,6,29.4169,2.6744
3.0017,7,29.9090,2.7632
3.0017,8,30.4009,2.8526
3.0017,9,30.8927,2.9429
3.0017,10,31.3843,3.0342
3.0017,11,31.8757,3.1267
3.0017,12,32.3668,3.2207
3.0017,13,32.8575,3.3162
3.0017,14,33.3480,3.4135
3.0017,15,33.8380,3.5130
3.0017,16,34.3275,3.6147
3.0017,17,34.8166,3.7185
3.0017,18,35.3051,3.8252
3.0017,19,35.7930,3.9347
3.0017,20,36.2802,4.0469
3.0017,21,36.7667,4.1625
3.0017,22,37.2523,4.2814
3.0017,23,37.7371,4.4038
3.0017,24,38.2208,4.5304
3.0017,25,38.7036,4.6603
3.0017,26,39.1853,4.7946
3.0017,27,39.6655,4.9338
3.0017,28,40.1447,5.0764
3.0017,29,40.6222,5.2246
3.0017,30,41.0982,5.3779
3.0017,31,41.5727,5.5354
3.0017,32,42.0451,5.6992
