# x,y,psi,v_target -- minimum-time racing line exported by tuner.raceline_optimizer from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/cone_map.json
# centreline_lap_time_s=38.372 raceline_lap_time_s=36.966 improvement_pct=3.66
x,y,psi,v_target
1.7619,-0.1343,0.00542,16.7000
2.2271,-0.1318,0.00797,16.7000
2.6922,-0.1269,0.01286,16.7000
3.1572,-0.1199,0.01731,16.7000
3.6223,-0.1108,0.02139,16.7000
4.0873,-0.1000,0.02521,16.7000
4.5522,-0.0874,0.02890,16.7000
5.0171,-0.0731,0.03253,16.7000
5.4820,-0.0571,0.03611,16.7000
5.9468,-0.0395,0.03967,16.7000
6.4115,-0.0202,0.04321,16.7000
6.8762,0.0007,0.04672,16.7000
7.3408,0.0232,0.05022,16.7000
7.8053,0.0474,0.05369,16.7000
8.2697,0.0731,0.05714,16.7000
8.7340,0.1005,0.06058,16.7000
9.1983,0.1295,0.06398,16.7000
9.6624,0.1600,0.06737,16.7000
10.1265,0.1921,0.07073,16.7000
10.5904,0.2257,0.07407,16.7000
11.0542,0.2609,0.07738,16.7000
11.5180,0.2977,0.08067,16.7000
11.9815,0.3359,0.08392,16.7000
12.4450,0.3756,0.08716,16.7000
12.9084,0.4169,0.09036,16.7000
13.3716,0.4596,0.09354,16.7000
13.8346,0.5038,0.09669,16.7000
14.2976,0.5494,0.09981,16.7000
14.7604,0.5965,0.10290,16.7000
15.2230,0.6450,0.10597,16.7000
15.6855,0.6949,0.10901,16.7000
16.1479,0.7462,0.11203,16.7000
16.6100,0.7989,0.11502,16.7000
17.0721,0.8530,0.11799,16.7000
17.5340,0.9084,0.12093,16.7000
17.9957,0.9652,0.12384,16.7000
18.4572,1.0233,0.12673,16.7000
18.9186,1.0828,0.12960,16.7000
19.3798,1.1436,0.13244,16.7000
19.8409,1.2057,0.13526,16.7000
20.3017,1.2690,0.13806,16.7000
20.7624,1.3337,0.14084,16.7000
21.2229,1.3997,0.14359,16.7000
21.6833,1.4669,0.14632,16.7000
22.1434,1.5353,0.14903,16.7000
22.6034,1.6050,0.15172,16.7000
23.0631,1.6759,0.15438,16.7000
23.5227,1.7481,0.15702,16.7000
23.9821,1.8214,0.15964,16.7000
24.4413,1.8960,0.16224,16.7000
24.9003,1.9717,0.16481,16.7000
25.3592,2.0486,0.16736,16.7000
25.8178,2.1267,0.16988,16.7000
26.2762,2.2059,0.17237,16.7000
26.7344,2.2863,0.17484,16.7000
27.1925,2.3678,0.17727,16.7000
27.6503,2.4504,0.17967,16.7000
28.1080,2.5341,0.18203,16.7000
28.5654,2.6188,0.18436,16.7000
29.0226,2.7046,0.18665,16.7000
29.4797,2.7915,0.18889,16.7000
29.9366,2.8794,0.19110,16.7000
30.3932,2.9682,0.19328,16.7000
30.8497,3.0581,0.19544,16.7000
31.3060,3.1489,0.19759,16.5167
31.7621,3.2407,0.19976,16.3183
32.2180,3.3336,0.20194,16.1175
32.6737,3.4274,0.20407,15.9142
33.1292,3.5221,0.20617,15.7082
33.5845,3.6179,0.20827,15.4994
34.0397,3.7145,0.21043,15.2879
34.4946,3.8122,0.21270,15.0733
34.9493,3.9110,0.21515,14.8557
35.4037,4.0109,0.21785,14.6348
35.8579,4.1121,0.22088,14.4105
36.3117,4.2148,0.22433,14.1827
36.7652,4.3192,0.22830,13.9511
37.2183,4.4254,0.23291,13.7156
37.6709,4.5340,0.23823,13.4760
38.1229,4.6451,0.24431,13.2320
38.5744,4.7592,0.25111,12.9833
39.0252,4.8766,0.25850,12.7297
39.4752,4.9974,0.26691,12.4708
39.9240,5.1223,0.27760,12.2065
40.3710,5.2527,0.29121,11.9365
40.8155,5.3896,0.30756,11.6606
41.2568,5.5340,0.32651,11.3784
41.6941,5.6871,0.34806,11.0897
42.1263,5.8495,0.37224,10.7943
42.5525,6.0222,0.39907,10.4919
42.9712,6.2058,0.42858,10.1823
43.3809,6.4007,0.46078,9.8654
43.7802,6.6074,0.49565,9.5411
44.1671,6.8258,0.53315,9.2093
44.5401,7.0559,0.57327,8.8700
44.8972,7.2972,0.61600,8.5231
45.2371,7.5493,0.66146,8.1783
45.5585,7.8119,0.71000,7.8230
45.8607,8.0852,0.76228,7.5271
46.1443,8.3712,0.81727,7.4633
46.4125,8.6734,0.87092,7.6630
46.6681,8.9933,0.92118,7.9523
